year,total,rodent,rodent_pct
2015,47686,237,0.49700121628989635
2016,102790,537,0.5224243603463372
2017,103520,591,0.5709041731066461
2018,100192,726,0.7246087511977004
2019,98758,931,0.9427084388100205
2020,106267,1190,1.1198208286674132
2021,111442,1050,0.9421941458337073
2022,101477,922,0.908580269420657
2023,115207,727,0.6310380445632644
2024,113961,621,0.5449232632216284
2025,65376,294,0.4497063142437592
